Time,V
1.8630E-06,2.3468277991E-02
1.8640E-06,2.3411504805E-02
1.8650E-06,2.3390015185E-02
1.8660E-06,2.3394482195E-02
1.8670E-06,2.3385734618E-02
1.8680E-06,2.3350436270E-02
1.8690E-06,2.3351879179E-02
1.8700E-06,2.3330611765E-02
1.8710E-06,2.3308954298E-02
1.8720E-06,2.3288921893E-02
1.8730E-06,2.3265616953E-02
1.8740E-06,2.3253338873E-02
1.8750E-06,2.3242046416E-02
1.8760E-06,2.3222717345E-02
1.8770E-06,2.3215105116E-02
1.8780E-06,2.3165864527E-02
1.8790E-06,2.3172376215E-02
1.8800E-06,2.3154437125E-02
1.8810E-06,2.3146736681E-02
1.8820E-06,2.3123180926E-02
1.8830E-06,2.3084020674E-02
1.8840E-06,2.3104311049E-02
1.8850E-06,2.3096605837E-02
1.8860E-06,2.3063453734E-02
1.8870E-06,2.3053306639E-02
1.8880E-06,2.3031812251E-02
1.8890E-06,2.3008199275E-02
1.8900E-06,2.2995147288E-02
1.8910E-06,2.2994479716E-02
1.8920E-06,2.2992960513E-02
1.8930E-06,2.2985306323E-02
1.8940E-06,2.2924802840E-02
1.8950E-06,2.2945008337E-02
1.8960E-06,2.2931622565E-02
1.8970E-06,2.2927905619E-02
1.8980E-06,2.2885794222E-02
1.8990E-06,2.2881924689E-02
1.9000E-06,2.2860254824E-02
1.9010E-06,2.2831699431E-02
1.9020E-06,2.2855208457E-02
1.9030E-06,2.2817649901E-02
1.9040E-06,2.2828373969E-02
1.9050E-06,2.2792960703E-02
1.9060E-06,2.2767058432E-02
1.9070E-06,2.2744514048E-02
1.9080E-06,2.2742720664E-02
1.9090E-06,2.2749035895E-02
1.9100E-06,2.2710891306E-02
1.9110E-06,2.2682414591E-02
1.9120E-06,2.2692665637E-02
1.9130E-06,2.2646214545E-02
1.9140E-06,2.2660013735E-02
1.9150E-06,2.2619728625E-02
1.9160E-06,2.2607962668E-02
1.9170E-06,2.2592286646E-02
1.9180E-06,2.2555921614E-02
1.9190E-06,2.2550446093E-02
1.9200E-06,2.2566003382E-02
1.9210E-06,2.2533958495E-02
1.9220E-06,2.2513514578E-02
1.9230E-06,2.2496544898E-02
1.9240E-06,2.2476602614E-02
1.9250E-06,2.2479524672E-02
1.9260E-06,2.2431302607E-02
1.9270E-06,2.2453003943E-02
1.9280E-06,2.2417074740E-02
1.9290E-06,2.2420426905E-02
