Time,V
9.5500E-07,7.0563898325E-03
9.5600E-07,7.0538353205E-03
9.5700E-07,7.0265007257E-03
9.5800E-07,7.0363050699E-03
9.5900E-07,7.0151827097E-03
9.6000E-07,7.0002161264E-03
9.6100E-07,6.9778370142E-03
9.6200E-07,6.9786163568E-03
9.6300E-07,6.9472397089E-03
9.6400E-07,6.9430176020E-03
9.6500E-07,6.9162235498E-03
9.6600E-07,6.9256193399E-03
9.6700E-07,6.8968826532E-03
9.6800E-07,6.8808962107E-03
9.6900E-07,6.8453762293E-03
9.7000E-07,6.8588768244E-03
9.7100E-07,6.8440819025E-03
9.7200E-07,6.8362568140E-03
9.7300E-07,6.8191589594E-03
9.7400E-07,6.8116636515E-03
9.7500E-07,6.7537531137E-03
9.7600E-07,6.7821716547E-03
9.7700E-07,6.7412342310E-03
9.7800E-07,6.7225467920E-03
9.7900E-07,6.7364429712E-03
9.8000E-07,6.7119348764E-03
9.8100E-07,6.7155506372E-03
9.8200E-07,6.6819999933E-03
9.8300E-07,6.6779632807E-03
9.8400E-07,6.6577499628E-03
9.8500E-07,6.6376878977E-03
9.8600E-07,6.6414983988E-03
9.8700E-07,6.6377134562E-03
9.8800E-07,6.6171425104E-03
9.8900E-07,6.5928524256E-03
9.9000E-07,6.6050434351E-03
9.9100E-07,6.5673420191E-03
9.9200E-07,6.5692884684E-03
9.9300E-07,6.5359228373E-03
9.9400E-07,6.5416828394E-03
9.9500E-07,6.5403345346E-03
9.9600E-07,6.5207523584E-03
9.9700E-07,6.4987865686E-03
9.9800E-07,6.5015260935E-03
9.9900E-07,6.4953853846E-03
1.0000E-06,6.4802086115E-03
1.0010E-06,6.4624056101E-03
1.0020E-06,6.4629032373E-03
1.0030E-06,6.4159820795E-03
1.0040E-06,6.4178451777E-03
1.0050E-06,6.3957569361E-03
1.0060E-06,6.3639623880E-03
1.0070E-06,6.3923502207E-03
1.0080E-06,6.3483982325E-03
1.0090E-06,6.3596132517E-03
1.0100E-06,6.3292124033E-03
1.0110E-06,6.3519224405E-03
1.0120E-06,6.3323061228E-03
1.0130E-06,6.3101660013E-03
1.0140E-06,6.3059093714E-03
1.0150E-06,6.2646143198E-03
1.0160E-06,6.2648828745E-03
1.0170E-06,6.2162611246E-03
1.0180E-06,6.2146248102E-03
1.0190E-06,6.2021286249E-03
1.0200E-06,6.1946481943E-03
1.0210E-06,6.1725853205E-03
1.0220E-06,6.1827718973E-03
1.0230E-06,6.1544082880E-03
1.0240E-06,6.1691459894E-03
1.0250E-06,6.1469000101E-03
1.0260E-06,6.1297313929E-03
1.0270E-06,6.1421133280E-03
1.0280E-06,6.0891481638E-03
1.0290E-06,6.0811632395E-03
1.0300E-06,6.0691526651E-03
1.0310E-06,6.0610849619E-03
1.0320E-06,6.0520609140E-03
1.0330E-06,6.0318607569E-03
1.0340E-06,6.0419666529E-03
1.0350E-06,6.0076500177E-03
1.0360E-06,5.9916656733E-03
1.0370E-06,5.9780218363E-03
1.0380E-06,5.9761358500E-03
