in s,CH2 in V
-6.4300E-07,1.9255557656E-03
-6.4200E-07,1.9371257424E-03
-6.4100E-07,1.9243503213E-03
-6.4000E-07,1.9283471704E-03
-6.3900E-07,1.9307790399E-03
-6.3800E-07,1.9282103181E-03
-6.3700E-07,1.9228315949E-03
-6.3600E-07,1.9394951463E-03
-6.3500E-07,1.9180193543E-03
-6.3400E-07,1.9530501962E-03
-6.3300E-07,1.9344273210E-03
-6.3200E-07,1.9377527833E-03
-6.3100E-07,1.9240007997E-03
-6.3000E-07,1.9408178926E-03
-6.2900E-07,1.9377856851E-03
-6.2800E-07,1.9525075555E-03
-6.2700E-07,1.9217992425E-03
-6.2600E-07,1.9375210404E-03
-6.2500E-07,1.9401107430E-03
-6.2400E-07,1.9196453691E-03
-6.2300E-07,1.9300246835E-03
-6.2200E-07,1.9375405908E-03
-6.2100E-07,1.9454422593E-03
-6.2000E-07,1.9298582673E-03
-6.1900E-07,1.9420929551E-03
-6.1800E-07,1.9350877404E-03
-6.1700E-07,1.9276490808E-03
-6.1600E-07,1.9366980195E-03
-6.1500E-07,1.9148226380E-03
-6.1400E-07,1.9305272698E-03
-6.1300E-07,1.9333677888E-03
-6.1200E-07,1.9336739182E-03
-6.1100E-07,1.9558048844E-03
-6.1000E-07,1.9312868714E-03
-6.0900E-07,1.9385014176E-03
-6.0800E-07,1.9392643571E-03
-6.0700E-07,1.9314489961E-03
-6.0600E-07,1.9437528253E-03
-6.0500E-07,1.9339380860E-03
-6.0400E-07,1.9363432527E-03
-6.0300E-07,1.9435697198E-03
-6.0200E-07,1.9524031281E-03
-6.0100E-07,1.9378843904E-03
-6.0000E-07,1.9568076730E-03
-5.9900E-07,1.9353695512E-03
-5.9800E-07,1.9349322915E-03
-5.9700E-07,1.9254770875E-03
-5.9600E-07,1.9335718751E-03
-5.9500E-07,1.9191852212E-03
-5.9400E-07,1.9355798364E-03
-5.9300E-07,1.9557791352E-03
-5.9200E-07,1.9542432427E-03
-5.9100E-07,1.9404116273E-03
-5.9000E-07,1.9442215562E-03
-5.8900E-07,1.9312925935E-03
-5.8800E-07,1.9266219735E-03
-5.8700E-07,1.9407315850E-03
