Time,V
7.8800E-07,1.0458927751E-02
7.8900E-07,1.0393387628E-02
7.9000E-07,1.0413760400E-02
7.9100E-07,1.0373064828E-02
7.9200E-07,1.0356948495E-02
7.9300E-07,1.0336364961E-02
7.9400E-07,1.0322098565E-02
7.9500E-07,1.0272569299E-02
7.9600E-07,1.0262617326E-02
7.9700E-07,1.0225432420E-02
7.9800E-07,1.0231096864E-02
7.9900E-07,1.0161516786E-02
8.0000E-07,1.0180404305E-02
8.0100E-07,1.0131677651E-02
8.0200E-07,1.0108278680E-02
8.0300E-07,1.0082953858E-02
8.0400E-07,1.0071498895E-02
8.0500E-07,1.0059529901E-02
8.0600E-07,1.0040038323E-02
8.0700E-07,1.0019975686E-02
8.0800E-07,1.0007501817E-02
8.0900E-07,9.9488365412E-03
8.1000E-07,9.9484894037E-03
8.1100E-07,9.9100851297E-03
8.1200E-07,9.8994812250E-03
8.1300E-07,9.8561575174E-03
8.1400E-07,9.8601129770E-03
8.1500E-07,9.8318521738E-03
8.1600E-07,9.8190700769E-03
8.1700E-07,9.7456598520E-03
8.1800E-07,9.7640400171E-03
8.1900E-07,9.7433918238E-03
8.2000E-07,9.7413517237E-03
8.2100E-07,9.7085306406E-03
8.2200E-07,9.7092968225E-03
8.2300E-07,9.6651489496E-03
8.2400E-07,9.6467499018E-03
8.2500E-07,9.6380359888E-03
8.2600E-07,9.6265444040E-03
8.2700E-07,9.5897665262E-03
8.2800E-07,9.5765650034E-03
8.2900E-07,9.5550739527E-03
8.3000E-07,9.5716926813E-03
8.3100E-07,9.5227659464E-03
8.3200E-07,9.5069135904E-03
8.3300E-07,9.4862024546E-03
8.3400E-07,9.4937494516E-03
8.3500E-07,9.4509954691E-03
8.3600E-07,9.4679420710E-03
8.3700E-07,9.4279045343E-03
8.3800E-07,9.4564666986E-03
8.3900E-07,9.4113407373E-03
8.4000E-07,9.4179565668E-03
8.4100E-07,9.3743189096E-03
8.4200E-07,9.3598858118E-03
8.4300E-07,9.3402282953E-03
8.4400E-07,9.3203119516E-03
8.4500E-07,9.2916458368E-03
8.4600E-07,9.2970651865E-03
8.4700E-07,9.2543161631E-03
8.4800E-07,9.2775476694E-03
8.4900E-07,9.2160694361E-03
8.5000E-07,9.2528105021E-03
8.5100E-07,9.2110939264E-03
8.5200E-07,9.2003322840E-03
8.5300E-07,9.1570480585E-03
8.5400E-07,9.1535169840E-03
8.5500E-07,9.1222650766E-03
8.5600E-07,9.1114889383E-03
8.5700E-07,9.0662536860E-03
8.5800E-07,9.0719663858E-03
8.5900E-07,9.0506778955E-03
8.6000E-07,9.0483436823E-03
8.6100E-07,9.0024496317E-03
8.6200E-07,8.9955242395E-03
8.6300E-07,8.9634903193E-03
8.6400E-07,8.9579786539E-03
8.6500E-07,8.9395826578E-03
8.6600E-07,8.9206417322E-03
8.6700E-07,8.9129091501E-03
8.6800E-07,8.8856846094E-03
8.6900E-07,8.8763012171E-03
8.7000E-07,8.8503910303E-03
8.7100E-07,8.8344537973E-03
8.7200E-07,8.7917602777E-03
8.7300E-07,8.7788244486E-03
8.7400E-07,8.7814224482E-03
8.7500E-07,8.7510998011E-03
8.7600E-07,8.7362854242E-03
8.7700E-07,8.7256321192E-03
8.7800E-07,8.7107565165E-03
8.7900E-07,8.6922695398E-03
8.8000E-07,8.6762354136E-03
8.8100E-07,8.6480444193E-03
8.8200E-07,8.6587497950E-03
8.8300E-07,8.5924427271E-03
8.8400E-07,8.6179456949E-03
8.8500E-07,8.5695751429E-03
8.8600E-07,8.5553371668E-03
8.8700E-07,8.5131885767E-03
8.8800E-07,8.5063766718E-03
8.8900E-07,8.4943300486E-03
8.9000E-07,8.4708748102E-03
8.9100E-07,8.4663465738E-03
8.9200E-07,8.4550115824E-03
8.9300E-07,8.4456020594E-03
8.9400E-07,8.4197445154E-03
8.9500E-07,8.3781418085E-03
8.9600E-07,8.3684620142E-03
8.9700E-07,8.3615101099E-03
8.9800E-07,8.3323328257E-03
8.9900E-07,8.2972194910E-03
9.0000E-07,8.2969990015E-03
9.0100E-07,8.2646673441E-03
9.0200E-07,8.2446674585E-03
9.0300E-07,8.2360029459E-03
9.0400E-07,8.2004118204E-03
9.0500E-07,8.2039217234E-03
9.0600E-07,8.2068130732E-03
9.0700E-07,8.1788280725E-03
9.0800E-07,8.1748518229E-03
9.0900E-07,8.1441618204E-03
9.1000E-07,8.1352829218E-03
9.1100E-07,8.1063755274E-03
9.1200E-07,8.1230751276E-03
9.1300E-07,8.0916866541E-03
9.1400E-07,8.0950819254E-03
9.1500E-07,8.0692922831E-03
9.1600E-07,8.0574323893E-03
9.1700E-07,8.0427753687E-03
9.1800E-07,8.0074682474E-03
9.1900E-07,7.9818332911E-03
9.2000E-07,7.9888223886E-03
9.2100E-07,7.9587421656E-03
9.2200E-07,7.9610502481E-03
9.2300E-07,7.9373413324E-03
9.2400E-07,7.9249841928E-03
9.2500E-07,7.9008041620E-03
9.2600E-07,7.8679453135E-03
9.2700E-07,7.8479297876E-03
9.2800E-07,7.8758623362E-03
9.2900E-07,7.8342155695E-03
9.3000E-07,7.8359720469E-03
9.3100E-07,7.8255064249E-03
9.3200E-07,7.8309393167E-03
9.3300E-07,7.7885895014E-03
9.3400E-07,7.7805883646E-03
9.3500E-07,7.7338632822E-03
9.3600E-07,7.7596870661E-03
9.3700E-07,7.7163931131E-03
9.3800E-07,7.7270056009E-03
9.3900E-07,7.6958139658E-03
9.4000E-07,7.7122486353E-03
9.4100E-07,7.6648947001E-03
9.4200E-07,7.6828315973E-03
9.4300E-07,7.6591049433E-03
9.4400E-07,7.6304931879E-03
9.4500E-07,7.6088629007E-03
9.4600E-07,7.6047331095E-03
9.4700E-07,7.5711126566E-03
9.4800E-07,7.5889503717E-03
9.4900E-07,7.5627657175E-03
9.5000E-07,7.5633627176E-03
9.5100E-07,7.5358217478E-03
9.5200E-07,7.5397070169E-03
9.5300E-07,7.4744030237E-03
9.5400E-07,7.4856697321E-03
9.5500E-07,7.4565534830E-03
9.5600E-07,7.4399635553E-03
9.5700E-07,7.4264263391E-03
9.5800E-07,7.4117532969E-03
9.5900E-07,7.3894300699E-03
9.6000E-07,7.3767641306E-03
9.6100E-07,7.3473976374E-03
9.6200E-07,7.3529016733E-03
9.6300E-07,7.3095291376E-03
9.6400E-07,7.2981634378E-03
9.6500E-07,7.2739336252E-03
9.6600E-07,7.2856210947E-03
9.6700E-07,7.2607515574E-03
9.6800E-07,7.2665048838E-03
9.6900E-07,7.2539560556E-03
9.7000E-07,7.2503347635E-03
9.7100E-07,7.2104227304E-03
9.7200E-07,7.2086792231E-03
9.7300E-07,7.1799926996E-03
9.7400E-07,7.1829460382E-03
9.7500E-07,7.1416450739E-03
9.7600E-07,7.1529091120E-03
9.7700E-07,7.1168567896E-03
9.7800E-07,7.0981989145E-03
9.7900E-07,7.0712217569E-03
9.8000E-07,7.0875564814E-03
9.8100E-07,7.0676660776E-03
9.8200E-07,7.0670912027E-03
9.8300E-07,7.0345669031E-03
9.8400E-07,7.0263550043E-03
9.8500E-07,7.0258751154E-03
9.8600E-07,7.0107992411E-03
9.8700E-07,6.9592167139E-03
9.8800E-07,6.9632879496E-03
9.8900E-07,6.9424621820E-03
9.9000E-07,6.9408083200E-03
9.9100E-07,6.9256906748E-03
9.9200E-07,6.9089395761E-03
9.9300E-07,6.9004989862E-03
9.9400E-07,6.9092466593E-03
9.9500E-07,6.8796650171E-03
9.9600E-07,6.8671566248E-03
9.9700E-07,6.8585495234E-03
9.9800E-07,6.8650356531E-03
9.9900E-07,6.8031967402E-03
1.0000E-06,6.8084888697E-03
1.0010E-06,6.7940506220E-03
1.0020E-06,6.7802614450E-03
1.0030E-06,6.7892704248E-03
1.0040E-06,6.7765674829E-03
1.0050E-06,6.7690603495E-03
1.0060E-06,6.7535537958E-03
1.0070E-06,6.7654951334E-03
1.0080E-06,6.7536165476E-03
1.0090E-06,6.7084621668E-03
1.0100E-06,6.7150461435E-03
1.0110E-06,6.6842640162E-03
1.0120E-06,6.6685878992E-03
1.0130E-06,6.6411102533E-03
1.0140E-06,6.6543775797E-03
1.0150E-06,6.6392912149E-03
1.0160E-06,6.6305031061E-03
1.0170E-06,6.6085661173E-03
1.0180E-06,6.5972147226E-03
1.0190E-06,6.5739267588E-03
1.0200E-06,6.5847357035E-03
1.0210E-06,6.5543991327E-03
1.0220E-06,6.5478603601E-03
1.0230E-06,6.5363449335E-03
1.0240E-06,6.5403537989E-03
1.0250E-06,6.5002044916E-03
1.0260E-06,6.5137546778E-03
1.0270E-06,6.4787330866E-03
1.0280E-06,6.4685064554E-03
1.0290E-06,6.4619449854E-03
1.0300E-06,6.4666918039E-03
1.0310E-06,6.4468664408E-03
1.0320E-06,6.4298267603E-03
1.0330E-06,6.4293630838E-03
1.0340E-06,6.3972172022E-03
1.0350E-06,6.3952024698E-03
1.0360E-06,6.3837387323E-03
1.0370E-06,6.3761240244E-03
1.0380E-06,6.3579660654E-03
1.0390E-06,6.3497165918E-03
1.0400E-06,6.3416342020E-03
1.0410E-06,6.3203129053E-03
1.0420E-06,6.3201072931E-03
1.0430E-06,6.2891325235E-03
1.0440E-06,6.2998729944E-03
1.0450E-06,6.2677400827E-03
1.0460E-06,6.2626322031E-03
1.0470E-06,6.2434742212E-03
1.0480E-06,6.2597261667E-03
1.0490E-06,6.2474748850E-03
1.0500E-06,6.2206636667E-03
1.0510E-06,6.1964678049E-03
1.0520E-06,6.1754875422E-03
1.0530E-06,6.1700283289E-03
1.0540E-06,6.1349867105E-03
1.0550E-06,6.1259392023E-03
1.0560E-06,6.1352619410E-03
1.0570E-06,6.1046716928E-03
1.0580E-06,6.1258932352E-03
1.0590E-06,6.0705406427E-03
1.0600E-06,6.0763908625E-03
1.0610E-06,6.0646639109E-03
1.0620E-06,6.0493215799E-03
1.0630E-06,6.0612415552E-03
1.0640E-06,6.0276912928E-03
1.0650E-06,6.0037449121E-03
1.0660E-06,5.9986320734E-03
1.0670E-06,5.9614996195E-03
1.0680E-06,5.9569454432E-03
1.0690E-06,5.9542425394E-03
1.0700E-06,5.9545362711E-03
1.0710E-06,5.9229078531E-03
1.0720E-06,5.9311676264E-03
1.0730E-06,5.8939495325E-03
1.0740E-06,5.9186304331E-03
1.0750E-06,5.8909055948E-03
1.0760E-06,5.9085880518E-03
1.0770E-06,5.8706512690E-03
1.0780E-06,5.8686054468E-03
1.0790E-06,5.8474912882E-03
1.0800E-06,5.8286978006E-03
1.0810E-06,5.8151632547E-03
1.0820E-06,5.8261770487E-03
1.0830E-06,5.8017151117E-03
1.0840E-06,5.8271631479E-03
1.0850E-06,5.7959713221E-03
1.0860E-06,5.8010561228E-03
1.0870E-06,5.7560476542E-03
1.0880E-06,5.7674124002E-03
1.0890E-06,5.7258278131E-03
1.0900E-06,5.7340452433E-03
1.0910E-06,5.7150564432E-03
1.0920E-06,5.7114912272E-03
1.0930E-06,5.7054796457E-03
1.0940E-06,5.7083734751E-03
1.0950E-06,5.6929641962E-03
1.0960E-06,5.6803406000E-03
1.0970E-06,5.6742250681E-03
1.0980E-06,5.6595253229E-03
1.0990E-06,5.6326694727E-03
