Timestep;Frequency  [kHz] - 52.5;Frequency  [kHz] - 53;Frequency  [kHz] - 53.5;Frequency  [kHz] - 53.8;Frequency  [kHz] - 54;Frequency  [kHz] - 54.3;Frequency  [kHz] - 54.5;Frequency  [kHz] - 54.8;Frequency  [kHz] - 55;Frequency  [kHz] - 55.3;Frequency  [kHz] - 55.5;Frequency  [kHz] - 55.8;Frequency  [kHz] - 56
82;0;0,04;0,325;20,425;56,375;69,87;75,42;82,85;88,21;95,955;100,385;106,41;111,74
83;0;0,02;0,4;20,49;55,405;70,235;75,465;82,78;88,405;94,39;100,76;106,96;112,945
84;0;0,015;0,345;20,83;55,94;70,45;76,02;83,67;88,125;95,33;100,655;107,915;113,09
85;0;0,025;0,35;20,615;55,2;69,73;74,66;83,34;88,305;95,165;100,45;106,655;111,43
86;0;0,02;0,395;20,55;56,46;70,81;74,68;83,76;86,95;95,355;101,475;105,375;112,34
87;0;0,015;0,33;20,86;56,055;69,19;75,61;82,225;87,09;95,445;100,525;106,35;112,28
88;0;0,035;0,35;20,825;56,65;70,155;75,305;84,14;88,22;94,725;100,985;106,925;110,08
89;0;0,005;0,355;20,765;56,98;70,165;74,255;83,74;88,32;95,25;101,08;106,62;112,77
90;0;0,015;0,32;19,92;55,51;69,8;75,875;84,105;87,7;95,085;99,915;108,04;111,09
91;0;0,005;0,34;20,625;56,465;70,925;75,075;83,295;87,41;94,245;100,76;106,79;111,605
92;0;0,035;0,36;20,63;55,755;70,345;75,39;83,2;88,58;95,125;101,425;106,545;111,185
93;0;0,025;0,315;20,23;56,105;70,22;73,81;82,67;87,94;94,815;100,725;106,875;112,725
94;0;0;0,285;20,38;56,165;70,98;75,82;83,24;88,695;93,99;101,565;106,55;109,83
95;0;0,01;0,37;20,55;55,835;70,395;75,04;83,23;88,47;96,585;101,18;107,185;112,615
96;0;0,015;0,35;19,86;56,58;71,11;75,085;81,48;87,9;94,27;100,42;107,11;111,11
97;0;0,015;0,37;19,6;56,17;71,005;75,705;83,135;88,635;94,35;101,31;107,945;113,235
98;0;0,005;0,375;19,16;55,77;70;74,78;82,3;88,035;96,3;101,505;106,805;112,29
99;0;0,015;0,35;19,705;56,465;69,19;74,945;83,545;87,825;96,49;100,97;107,755;110,905
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;0;0;0,3675;20,1396;55,922;70,1335;75,21105;83,32115;88,12;95,24095;100,8205;107,0449;111,931
